id Amikacin Capreomycin Ciprofloxacin Ethambutol Ethionamide Isoniazid Kanamycin Moxifloxacin Ofloxacin PAA Prothionamide Pyrazinamide Rifampicin Streptomycin
ERR1034635 1 1 1 1 2 1 1 1 1 2 1 1 1 1
ERR1034636 1 1 1 1 1 2 1 1 1 1 1 1 1 1
ERR1034649 1 1 1 1 2 2 1 1 1 1 1 1 2 1
ERR1034650 1 1 1 1 1 2 1 1 1 1 1 1 2 1
ERR1034651 1 2 1 2 1 2 1 1 1 1 2 2 2 1
ERR1034668 1 1 1 2 1 2 1 2 1 2 1 1 2 2
ERR1034669 1 1 2 2 2 2 1 1 2 2 2 2 2 2
ERR1034670 1 1 2 2 2 2 1 1 1 1 1 2 2 2
ERR1034671 1 1 1 1 2 2 1 1 1 1 1 1 2 2
ERR1034672 1 1 1 2 1 2 1 1 1 1 2 2 2 1
ERR1034673 1 1 1 2 2 2 1 1 1 1 2 2 2 1
ERR1034674 1 1 1 1 2 2 1 1 1 1 2 1 2 2
ERR1034675 1 1 1 1 1 2 1 1 1 1 2 1 2 2
ERR1034676 1 1 1 2 1 2 1 1 1 1 1 1 2 2
ERR1034677 1 1 1 1 2 2 1 1 1 1 1 1 2 2
ERR1034678 1 2 1 1 1 2 1 2 2 1 2 2 2 2
ERR1034679 1 2 1 1 2 2 1 1 1 2 1 1 2 2
ERR1034680 1 1 1 2 2 2 1 1 1 1 1 1 2 2
ERR1034681 1 1 1 1 1 2 1 1 1 1 1 1 2 1
ERR1034682 1 1 1 1 1 2 1 1 1 1 1 2 2 1
ERR1034683 2 2 1 1 2 2 1 1 1 1 1 1 2 2
ERR1034684 1 1 1 1 1 2 1 1 1 1 1 1 2 2
ERR1034685 1 1 1 2 2 2 1 1 2 2 1 1 2 2
ERR1034688 2 2 2 1 1 1 1 1 1 1 1 1 1 1
ERR1034690 1 1 1 1 1 2 1 1 1 1 2 1 2 2
ERR1034716 1 1 1 1 2 2 1 1 2 1 2 1 2 2
ERR1034717 1 1 2 2 2 2 1 1 1 1 2 2 2 2
ERR1034718 1 1 1 1 1 1 1 1 1 2 2 2 1 1
ERR1034721 1 1 1 1 1 1 2 1 1 1 1 2 1 1
ERR1034723 1 1 1 1 1 2 1 1 1 2 2 2 1 1
ERR1034724 1 1 1 1 1 2 1 1 1 1 1 2 2 1
ERR1034725 1 1 1 2 1 2 1 1 1 1 2 2 2 1
ERR1034726 1 1 1 2 2 2 1 2 2 2 2 1 1 1
ERR1034727 1 1 1 1 1 1 1 1 1 1 1 1 1 1
ERR1034728 1 1 1 1 1 1 1 1 1 1 1 1 2 1
ERR1034729 1 1 1 1 2 2 1 1 1 1 1 1 1 2
ERR1034730 1 1 1 1 1 2 1 1 1 1 1 1 1 1
ERR1034731 1 1 1 1 1 2 2 2 2 1 1 1 1 2
ERR1034732 1 1 1 1 1 1 1 1 1 1 1 1 1 1
ERR1034733 1 1 1 2 1 2 1 1 1 1 1 1 2 1
ERR1034734 1 1 1 2 1 2 1 1 1 1 2 2 2 1
ERR1034735 1 1 1 2 1 2 1 1 1 2 1 2 2 2
ERR1034736 1 1 1 2 1 1 1 1 1 2 1 1 1 1
ERR1034737 1 1 1 2 1 2 1 1 1 1 1 2 2 1
ERR1034738 1 1 1 2 1 2 1 1 1 2 1 1 2 2
ERR1034739 1 1 1 2 1 2 1 1 1 1 1 1 1 1
ERR1034740 1 1 1 2 1 1 1 1 1 1 1 1 2 1
ERR1034742 1 1 1 1 1 1 1 1 1 2 1 1 1 1
ERR1034743 1 1 1 1 1 1 1 1 1 1 1 1 1 1
ERR1034744 1 1 1 2 1 1 1 1 1 1 1 1 1 1
ERR1034745 1 1 1 1 1 1 1 1 1 2 1 1 1 1
ERR1034746 1 1 1 1 2 1 1 1 1 1 1 1 1 2
ERR1034747 1 1 1 1 1 2 1 1 1 1 1 1 1 1
ERR1034748 1 1 1 2 1 2 1 1 1 1 2 2 1 1
ERR1034749 1 1 1 1 2 2 1 1 2 2 1 1 1 1
ERR1034750 1 1 1 1 2 2 1 1 1 1 1 2 2 1
ERR1034751 1 1 1 1 1 2 1 1 1 1 2 1 1 2
ERR1034752 1 1 1 1 1 2 1 1 1 1 1 1 1 1
ERR1034753 1 1 1 1 2 2 1 1 1 1 1 1 1 1
ERR1034754 1 1 1 1 2 2 1 1 1 2 2 2 2 2
ERR1034755 1 1 1 1 1 2 1 1 1 1 1 1 2 1
ERR1034756 1 1 1 2 1 2 1 1 1 2 1 1 1 1
ERR1034758 1 1 1 1 1 2 1 1 1 1 1 1 1 1
ERR1034759 1 1 1 1 1 2 1 1 1 1 1 1 1 1
ERR1034760 1 1 1 1 2 1 1 1 1 1 1 1 1 1
ERR1034761 1 1 1 1 1 1 1 1 1 1 1 1 1 1
ERR1034762 1 1 1 1 1 1 1 1 1 1 1 1 1 1
ERR1034763 1 1 1 1 1 1 1 1 1 1 1 1 1 1
ERR1034764 1 1 1 2 2 2 2 1 2 1 1 2 2 2
ERR1034765 2 2 1 1 2 1 2 1 2 1 1 1 1 1
ERR1034766 1 1 1 1 1 1 1 1 1 1 2 1 1 1
ERR1034767 1 1 1 1 1 1 1 2 1 2 1 1 1 1
ERR1034768 1 1 1 1 2 1 1 1 1 1 1 1 1 1
ERR1034772 1 1 1 1 1 1 1 1 1 2 1 1 1 1
ERR1034777 1 1 1 1 1 1 2 1 1 1 1 1 1 1
ERR1034781 2 2 1 1 1 1 2 1 1 1 1 1 1 2
ERR1034783 2 1 2 1 1 2 2 1 1 1 1 2 2 1
ERR1034784 2 2 1 2 1 2 2 1 1 1 2 2 2 2
ERR1034785 2 2 1 2 2 2 2 1 1 1 2 2 2 2
ERR1034786 1 1 2 1 1 2 1 2 2 1 2 2 2 2
ERR1034787 2 1 2 1 2 2 2 2 2 1 1 2 2 2
ERR1034788 1 1 1 1 1 2 1 1 1 2 2 2 2 2
ERR1034789 2 2 2 2 2 2 2 2 2 1 2 2 2 2
ERR1034790 1 1 1 1 1 2 1 1 1 1 1 1 1 1
ERR1034792 1 1 1 2 1 1 1 1 1 2 1 1 1 2
ERR1034794 1 1 1 1 1 2 1 1 1 1 1 1 1 1
ERR1034795 1 1 1 1 1 1 1 1 1 1 1 2 2 1
ERR1034796 1 1 1 2 1 1 1 1 1 2 2 1 2 1
ERR1034797 1 1 1 1 1 1 1 1 1 1 1 1 2 1
ERR1034798 1 1 1 2 2 2 1 1 1 1 1 2 2 1
ERR1034799 1 1 1 1 1 2 1 1 1 1 2 1 1 1
ERR1034800 1 1 1 1 1 1 1 1 1 2 2 1 1 1
ERR1034801 1 1 1 1 1 1 1 1 1 2 1 1 1 1
ERR1034802 1 1 1 1 1 2 1 1 1 1 2 2 1 2
ERR1034811 1 1 1 2 1 2 1 1 1 1 1 2 2 2
ERR1034813 1 2 1 1 2 1 2 1 2 1 1 1 1 1
ERR1034814 1 1 1 2 2 2 2 1 1 1 2 2 2 2
ERR1034815 1 1 1 2 1 2 1 1 1 1 2 2 2 1
ERR1034816 1 1 1 1 1 1 1 1 1 1 1 1 1 1
ERR1034817 1 1 1 1 2 2 1 1 1 1 1 1 1 2
ERR1034819 1 1 1 1 1 2 1 1 1 1 1 1 2 2
ERR1034820 1 1 1 1 1 2 1 1 1 1 1 1 2 1
ERR1034821 2 2 2 2 2 2 2 2 2 1 2 2 2 1
ERR1034822 1 2 1 2 2 2 2 2 2 1 2 2 2 2
ERR1034823 2 2 2 2 2 2 2 2 2 1 2 2 2 2
ERR1034824 1 1 1 1 1 1 1 1 1 2 2 1 1 1
ERR1034825 1 1 1 1 2 2 2 2 2 1 1 1 1 2
ERR1034826 1 1 1 2 2 2 1 1 1 1 2 2 2 2
ERR1034827 1 1 1 2 2 2 1 1 1 1 2 2 2 2
ERR1034828 1 1 1 1 2 1 1 1 1 1 2 1 1 1
ERR1034829 1 1 2 1 2 1 1 2 2 2 1 1 1 1
ERR1034830 1 1 1 2 2 2 2 2 1 2 1 1 1 2
ERR1034831 2 2 1 1 2 1 2 1 1 1 1 1 1 1
ERR1034832 1 1 2 2 1 2 1 2 1 1 1 2 2 2
